Title,Year,imdbRating,Runtime,Awards,Awards_Count,Genre,Genre_Count
The Godfather,1972,9.2,175.0,Won 3 Oscars. 31 wins & 31 nominations total,65,"Crime, Drama",2
Casablanca,1943,8.5,102.0,Won 3 Oscars. 18 wins & 12 nominations total,33,"Drama, Romance, War",3
Citizen Kane,1941,8.2,119.0,Won 1 Oscar. 16 wins & 13 nominations total,30,"Drama, Mystery",2
Gone with the Wind,1939,8.2,238.0,Won 8 Oscars. 26 wins & 10 nominations total,44,"Drama, Romance, War",3
Lawrence of Arabia,1962,8.3,227.0,Won 7 Oscars. 31 wins & 14 nominations total,52,"Adventure, Biography, Drama",3
The Wizard of Oz,1939,8.1,102.0,Won 2 Oscars. 16 wins & 14 nominations total,32,"Adventure, Family, Fantasy",3
The Graduate,1967,8.0,106.0,Won 1 Oscar. 22 wins & 17 nominations total,40,"Comedy, Drama, Romance",3
On the Waterfront,1954,8.1,108.0,Won 8 Oscars. 30 wins & 11 nominations total,49,"Crime, Drama, Thriller",3
Schindler's List,1994,9.0,195.0,Won 7 Oscars. 91 wins & 49 nominations total,147,"Biography, Drama, History",3
Singin' in the Rain,1952,8.3,103.0,Nominated for 2 Oscars. 11 wins & 11 nominations total,24,"Comedy, Musical, Romance",3
It's a Wonderful Life,1946,8.6,130.0,Nominated for 5 Oscars. 11 wins & 7 nominations total,23,"Drama, Family, Fantasy",3
Sunset Boulevard,1950,8.4,110.0,Won 3 Oscars. 21 wins & 20 nominations total,44,"Drama, Film-Noir",2
The Bridge on the River Kwai,1957,8.1,161.0,Won 7 Oscars. 30 wins & 7 nominations total,44,"Adventure, Drama, War",3
Some Like It Hot,1959,8.2,121.0,Won 1 Oscar. 11 wins & 13 nominations total,25,"Comedy, Music, Romance",3
Star Wars: Episode IV - A New Hope,1977,8.6,121.0,Won 6 Oscars. 70 wins & 31 nominations total,107,"Action, Adventure, Fantasy",3
All About Eve,1950,8.2,138.0,Won 6 Oscars. 27 wins & 22 nominations total,55,Drama,1
The African Queen,1951,7.7,105.0,Won 1 Oscar. 7 wins & 9 nominations total,17,"Adventure, Drama, Romance",3
Psycho,1960,8.5,109.0,Nominated for 4 Oscars. 8 wins & 14 nominations total,26,"Drama, Horror, Mystery",3
Chinatown,1974,8.1,130.0,Won 1 Oscar. 21 wins & 24 nominations total,46,"Drama, Mystery, Thriller",3
One Flew Over the Cuckoo's Nest,1975,8.6,133.0,Won 5 Oscars. 38 wins & 15 nominations total,58,Drama,1
The Grapes of Wrath,1940,8.1,129.0,Won 2 Oscars. 13 wins & 6 nominations total,21,Drama,1
2001: A Space Odyssey,1968,8.3,149.0,Won 1 Oscar. 18 wins & 14 nominations total,33,"Adventure, Sci-Fi",2
